Afrique_du_Sud Pretoria
Algerie Alger
Angola Luanda
Benin Porto_Novo
Botswana Gaborone
Burkina_Faso Ouagadougou
Burundi Bujumbura
Cameroun Yaounde
Cap-Vert Praia
Comores Moroni
Congo Brazzaville
Cote_d'Ivoire Yamoussoukro
Djibouti Djibouti
Egypte Le_Caire
Erythree Asmara
Eswatini Mbabane
Ethiopie Addis_Abeba
Gabon Libreville
Gambie Banjul
Ghana Accra
Guinee Conakry
Guinee_equatoriale Malabo
Guinee-Bissau Bissau
Ile_Maurice Port_Louis
Kenya Nairobi
Lesotho Maseru
Liberia Monrovia
Libye Tripoli
Madagascar Antananarivo
Malawi Lilongwe
Mali Bamako
Maroc Rabat
Mauritanie Nouakchott
Mozambique Maputo
Namibie Windhoek
Niger Niamey
Nigeria Abuja
Ouganda Kampala
Republique_Centrafricaine Bangui
Republique_Democratique_du_Congo Kinshasa
Rwanda Kigali
Sao_Tome_et_Principe Sao_Tome
Senegal Dakar
Seychelles Victoria
Sierra Leone Freetown
Somalie Mogadiscio
Soudan Khartoum
Soudan_du_Sud Djouba
Tanzanie Dodoma
Tchad N'Djamena
Togo Lome
Tunisie Tunis
Zambie Lusaka
Zimbabwe Harare
