Antigua-et-Barbuda Saint_John's
Argentine Buenos_Aires
Bahamas Nassau
Barbade Bridgetown
Belize Belmopan
Bolivie Sucre
Bresil Brasilia
Canada Ottawa
Chili Santiago
Colombie Bogota
Costa_Rica San_Jose
Cuba La Havane
Dominique Roseau
Equateur Quito
Etats-Unis Washington
Grenade Saint_George's
Guatemala Guatemala
Guyana Georgetown
Haiti Port_au_Prince
Honduras Tegucigalpa
Jamaique Kingston
Mexique Mexico
Nicaragua Managua
Panama Panama
Paraguay Asuncion
Perou Lima
Republique_Dominicaine Saint_Domingue
Saint-Kitts-et-Nevis Basseterre
Saint-Vincent-et-les-Grenadines Kingstown
Sainte-Lucie Castries
Salvador San_Salvador
Suriname Paramaribo
Trinite-et-Tobago Port_of_Spain
Uruguay Montevideo
Venezuela Caracas
