Afghanistan Kaboul
Arabie_Saoudite Riyad
Armenie Erevan
Azerbaidjan Bakou
Bahrein Manama
Bangladesh Dacca
Bhoutan Thimbu
Birmanie Naypyidaw
Brunei Bandar_Seri_Begawan
Cambodge Phnom_Penh
Chine Pekin
Coree_du_Nord Pyongyang
Coree_du_Sud Seoul
Emirats_Arabes_Unis Abu_Dhabi
Georgie Tbilissi
Inde New_Delhi
Indonesie Jakarta
Irak Bagdad
Iran Teheran
Israel Jerusalem
Japon Tokyo
Jordanie Amman
Kazakhstan Astana
Kirghizistan Bichkek
Koweit Koweit
Laos Vientiane
Liban Beyrouth
Malaisie Kuala_Lumpur
Maldives Male
Mongolie Oulan_Bator
Nepal Katmandou
Oman Mascate
Ouzbekistan Tachkent
Pakistan Islamabad
Palestine Jerusalem
Philippines Manille
Qatar Doha
Singapour Singapour
Sri_Lanka Sri_Jayawardenapura
Syrie Damas
Tadjikistan Douchanbe
Taiwan Taipei
Thailande Bangkok
Turkmenistan Achgabat
Turquie Ankara
Viet Nam Hanoi
Yemen Sanaa
