Albanie Tirana
Allemagne Berlin
Andorre Andorre_la_Vieille
Autriche Vienne
Belgique Bruxelles
Bielorussie Minsk
Bosnie-Herzegovine Sarajevo
Bulgarie Sofia
Chypre Nicosie
Croatie Zagreb
Danemark Copenhague
Espagne Madrid
Estonie Tallinn
Finlande Helsinki
France Paris
Grece Athenes
Hongrie Budapest
Irlande Dublin
Islande Reykjavik
Italie Rome
Kosovo Pristina
Lettonie Riga
Liechtenstein Vaduz
Lituanie Vilnius
Luxembourg Luxembourg
Macedoine_du_Nord Skopje
Malte La_Valette
Moldavie Chisinau
Monaco Monaco
Montenegro Podgorica
Norvege Oslo
Pays-Bas Amsterdam
Pologne Varsovie
Portugal Lisbonne
Republique_Tcheque Prague
Roumanie Bucarest
Royaume-Uni Londres
Russie Moscou
Saint-Marin Saint-Marin
Serbie Belgrade
Slovaquie Bratislava
Slovenie Ljubljana
Suede Stockholm
Suisse Berne
Ukraine Kiev
Vatican Vatican
