Afrique_du_Sud Pretoria
Algerie Alger
Angola Luanda
Benin Porto_Novo
Botswana Gaborone
Burkina_Faso Ouagadougou
Burundi Bujumbura
Cameroun Yaounde
Cap-Vert Praia
Comores Moroni
Congo Brazzaville
Cote_d'Ivoire Yamoussoukro
Djibouti Djibouti
Egypte Le_Caire
Erythree Asmara
Eswatini Mbabane
Ethiopie Addis_Abeba
Gabon Libreville
Gambie Banjul
Ghana Accra
Guinee Conakry
Guinee_equatoriale Malabo
Guinee-Bissau Bissau
Ile_Maurice Port_Louis
Kenya Nairobi
Lesotho Maseru
Liberia Monrovia
Libye Tripoli
Madagascar Antananarivo
Malawi Lilongwe
Mali Bamako
Maroc Rabat
Mauritanie Nouakchott
Mozambique Maputo
Namibie Windhoek
Niger Niamey
Nigeria Abuja
Ouganda Kampala
Republique_Centrafricaine Bangui
Republique_Democratique_du_Congo Kinshasa
Rwanda Kigali
Sao_Tome_et_Principe Sao_Tome
Senegal Dakar
Seychelles Victoria
Sierra Leone Freetown
Somalie Mogadiscio
Soudan Khartoum
Soudan_du_Sud Djouba
Tanzanie Dodoma
Tchad N'Djamena
Togo Lome
Tunisie Tunis
Zambie Lusaka
Zimbabwe Harare
Antigua-et-Barbuda Saint_John's
Argentine Buenos_Aires
Bahamas Nassau
Barbade Bridgetown
Belize Belmopan
Bolivie Sucre
Bresil Brasilia
Canada Ottawa
Chili Santiago
Colombie Bogota
Costa_Rica San_Jose
Cuba La Havane
Dominique Roseau
Equateur Quito
Etats-Unis Washington
Grenade Saint_George's
Guatemala Guatemala
Guyana Georgetown
Haiti Port_au_Prince
Honduras Tegucigalpa
Jamaique Kingston
Mexique Mexico
Nicaragua Managua
Panama Panama
Paraguay Asuncion
Perou Lima
Republique_Dominicaine Saint_Domingue
Saint-Kitts-et-Nevis Basseterre
Saint-Vincent-et-les-Grenadines Kingstown
Sainte-Lucie Castries
Salvador San_Salvador
Suriname Paramaribo
Trinite-et-Tobago Port_of_Spain
Uruguay Montevideo
Venezuela Caracas
Afghanistan Kaboul
Arabie_Saoudite Riyad
Armenie Erevan
Azerbaidjan Bakou
Bahrein Manama
Bangladesh Dacca
Bhoutan Thimbu
Birmanie Naypyidaw
Brunei Bandar_Seri_Begawan
Cambodge Phnom_Penh
Chine Pekin
Coree_du_Nord Pyongyang
Coree_du_Sud Seoul
Emirats_Arabes_Unis Abu_Dhabi
Georgie Tbilissi
Inde New Delhi
Indonesie Jakarta
Irak Bagdad
Iran Teheran
Israel Jerusalem
Japon Tokyo
Jordanie Amman
Kazakhstan Astana
Kirghizistan Bichkek
Koweit Koweit
Laos Vientiane
Liban Beyrouth
Malaisie Kuala_Lumpur
Maldives Male
Mongolie Oulan_Bator
Nepal Katmandou
Oman Mascate
Ouzbekistan Tachkent
Pakistan Islamabad
Palestine Jerusalem_Est
Philippines Manille
Qatar Doha
Singapour Singapour
Sri_Lanka Sri_Jayawardenapura
Syrie Damas
Tadjikistan Douchanbe
Taiwan Taipei
Thailande Bangkok
Turkmenistan Achgabat
Turquie Ankara
Viet Nam Hanoi
Yemen Sanaa
Albanie Tirana
Allemagne Berlin
Andorre Andorre_la_Vieille
Autriche Vienne
Belgique Bruxelles
Bielorussie Minsk
Bosnie-Herzegovine Sarajevo
Bulgarie Sofia
Chypre Nicosie
Croatie Zagreb
Danemark Copenhague
Espagne Madrid
Estonie Tallinn
Finlande Helsinki
France Paris
Grece Athenes
Hongrie Budapest
Irlande Dublin
Islande Reykjavik
Italie Rome
Kosovo Pristina
Lettonie Riga
Liechtenstein Vaduz
Lituanie Vilnius
Luxembourg Luxembourg
Macedoine_du_Nord Skopje
Malte La_Valette
Moldavie Chisinau
Monaco Monaco
Montenegro Podgorica
Norvege Oslo
Pays-Bas Amsterdam
Pologne Varsovie
Portugal Lisbonne
Republique_Tcheque Prague
Roumanie Bucarest
Royaume-Uni Londres
Russie Moscou
Saint-Marin Saint-Marin
Serbie Belgrade
Slovaquie Bratislava
Slovenie Ljubljana
Suede Stockholm
Suisse Berne
Ukraine Kiev
Vatican Vatican
Australie Canberra
Fidji Suva
Kiribati Tarawa
Marshall Majuro
Micronesie Palikir
Nauru Yaren
Nouvelle-Zelande Wellington
Palaos Melekeok
Papouasie-Nouvelle-Guinee Port_Moresby
Salomon Honiara
Samoa Apia
Timor-Oriental Dili
Tonga Nukualofa
Tuvalu Fanafuti
Vanuatu Port_Vila
